id,income-january,orders-january,clients-january,income-february,orders-february,clients-february,income-march,orders-march,clients-march,income-april,orders-april,clients-april,income-may,orders-may,clients-may,income-june,orders-june,clients-june,income-july,orders-july,clients-july,income-august,orders-august,clients-august,income-september,orders-september,clients-september,income-october,orders-october,clients-october,income-november,orders-november,clients-november,income-december,orders-december,clients-december
699,16362.42066,744,34,16318.98521,762,36,16217.77082,717,34,18350.23737,803,36,19484.74621,890,37,18936.69419,769,37,22258.55785,935,42,24804.98643,913,43,27561.10054,992,41,21564.30993,712,39,24497.32796,884,39,25975.55764,1062,43
700,14615.38353,599,22,19366.23091,732,25,19344.37571,696,25,20923.98012,819,26,23420.10037,972,26,24911.055,817,25,20911.84199,816,25,29037.44093,1004,26,20820.02603,772,27,17203.01958,622,26,20458.83982,763,26,23696.38066,947,27
701,12699.5177,529,22,13906.61382,545,22,13686.30558,562,23,17853.02258,735,23,15803.72403,702,23,15388.53722,663,23,15685.7907,710,24,18610.21254,714,22,19620.19403,763,24,17625.91391,580,23,20373.69349,759,23,18958.01679,732,25
702,20460.41802,810,31,19819.79808,775,30,21997.92142,840,30,30218.03378,978,32,28054.62686,1090,32,27218.40916,1036,32,27165.72896,977,31,31482.74122,1076,32,31331.60879,945,29,34940.10546,954,33,42684.47776,1072,34,36380.06635,1057,32
703,17281.34433,750,31,22527.40234,723,35,18441.50559,766,34,21755.23056,925,35,22905.86475,1000,34,29198.42121,813,34,34392.30225,867,33,26302.0055,924,36,28801.78827,959,35,18739.64383,699,31,30759.56481,836,33,20289.70552,827,35
704,24046.90486,704,30,35246.8109,898,31,29100.42696,845,33,35713.17658,969,34,31734.99919,1007,32,30892.43498,975,33,43827.39072,1169,34,42994.04412,1226,36,41912.27153,1122,36,27475.45747,849,34,41329.44533,1096,36,45567.61328,1233,38
705,27145.88774,966,32,29896.97762,1107,33,35769.89773,1205,35,35481.58675,1335,34,38981.31288,1408,38,34740.18024,1251,36,39167.99232,1350,37,48233.94695,1496,39,43128.09968,1425,38,31142.7149,963,35,39964.67052,1297,38,45047.91079,1448,39
706,18217.94563,735,29,16999.85352,741,28,18434.46702,733,29,24868.94998,996,33,26702.42917,970,33,27584.91471,1032,33,25480.08701,961,34,26556.73033,979,34,23317.95163,900,34,25960.7513,885,34,27726.94345,1075,33,34194.343,1131,35
707,15203.32366,650,26,17326.90434,716,28,20538.11629,745,28,19153.60403,778,25,22888.23097,876,29,25216.92209,916,29,22753.20833,924,28,25430.36659,926,29,23865.74556,857,29,19119.81149,703,29,21911.13321,894,29,25590.21554,963,33
708,20445.58682,592,25,15816.5486,538,25,16184.1595,523,25,26271.15068,752,26,22501.0462,756,26,20419.15946,665,28,25653.11276,792,28,34917.60088,931,28,29654.48708,879,28,23475.1164,768,27,24431.19258,821,29,31118.63101,946,28
709,22163.34268,964,33,26320.00032,969,35,25802.45495,932,34,31160.84804,1165,37,33929.01154,1284,39,38106.84308,1226,40,32985.1971,1201,40,46799.48129,1356,39,36352.43038,1184,40,26326.52434,944,39,36229.14032,1336,43,44782.88613,1393,43
710,28610.45011,919,31,27624.06585,877,30,30173.94815,875,30,32143.23214,1059,31,34340.62275,1113,31,31886.71158,1017,32,31633.48988,1122,33,41426.00877,1105,33,34226.58573,985,32,29895.85619,713,31,51283.61922,1041,33,38403.34614,971,33
711,24695.32146,900,41,27282.47364,967,40,27234.12839,971,39,29928.66972,1189,41,30433.38351,1115,41,32789.29674,1239,44,35565.46292,1475,45,43268.61541,1517,45,37938.7872,1331,44,31952.50633,1072,40,39811.32651,1450,44,39536.70595,1436,49
712,19328.74661,724,33,17778.99774,758,31,20582.92301,741,34,22709.15236,984,35,23536.76849,923,36,25522.84721,894,36,26144.21451,885,37,26540.29591,977,36,24237.60307,875,35,22487.155,743,35,27035.62514,974,39,27939.97283,1013,38
713,20276.46817,762,31,21617.3764,848,31,22948.6803,782,30,25556.63236,954,30,24811.41245,1030,31,24866.19327,961,31,21732.8589,942,32,30552.12103,1092,33,26242.71059,969,32,18287.96281,645,34,25301.20805,1014,34,25672.52641,984,34
714,20935.16625,747,26,23271.29118,783,25,30875.18539,886,25,29432.65765,1014,25,27813.95714,937,26,21719.40968,850,24,27547.03056,934,25,26379.52361,834,25,32350.02902,1011,25,18772.00078,657,24,17182.1781,726,24,30995.81608,964,24
715,44026.03722,783,26,45938.19586,837,28,68227.13875,1021,29,63075.51063,1218,29,73450.40087,1234,32,58415.23497,1114,32,60147.21687,1181,33,69295.53586,1380,35,58907.99422,1195,35,39731.33743,966,35,66420.50204,1184,35,81842.74479,1404,35
716,61083.11862,1118,36,64885.65015,1350,37,89057.86064,1482,37,75929.47858,1421,36,70650.31996,1735,38,81136.01857,1568,37,90267.76812,1681,38,95338.20924,1699,37,86713.65506,1519,37,75961.48164,1294,39,105517.5636,1461,37,91754.61239,1583,40
717,39094.00308,1157,37,31107.29803,1059,38,30544.45095,1170,37,32951.04024,1364,38,139943.5179,1376,37,31376.75764,1176,37,39859.77481,1482,39,46720.26692,1434,39,46267.7865,1430,37,99082.95532,1079,34,57382.57559,1150,38,182685.5823,1403,38
718,18255.45036,742,31,24579.66791,848,31,24583.96946,842,33,19187.43472,792,29,33578.3051,1155,33,26515.98097,944,32,22581.29412,1012,32,34993.16776,1093,32,31338.48814,1023,34,51530.19268,771,32,35403.9591,1017,32,38294.91503,1075,31
719,17221.52249,744,29,15545.63352,618,29,18493.35286,737,29,19794.66261,781,30,23518.61298,912,32,20870.36969,855,32,21932.22129,919,32,24787.80949,879,34,22142.1338,832,35,21102.68553,700,36,24617.22381,943,37,24421.82348,867,35
720,19229.57515,766,33,21355.13316,870,32,24912.52047,950,32,27250.72718,965,33,26997.13923,1019,33,24804.50608,989,32,27660.4746,1117,35,30739.90971,1028,35,28352.33315,1052,34,21080.11157,763,35,25009.39733,979,38,26231.46767,955,38
721,11805.17401,457,22,15513.37329,526,24,14241.2642,530,23,20109.40038,702,24,18722.27308,707,26,20971.41663,749,25,18896.71438,743,26,24438.27456,718,27,22228.58133,721,27,24817.61536,680,29,25760.4381,757,28,24264.17837,831,28
722,20267.50864,773,32,21681.49231,845,33,22897.90453,830,32,27833.37163,1053,33,30332.68703,1201,35,28633.5399,975,33,34878.08073,1099,34,35994.03138,1148,35,31146.55967,997,35,24647.48537,823,35,29095.60972,951,35,26937.49614,824,35
723,19194.25347,808,33,19987.13937,761,34,22283.37918,860,33,24357.52257,950,34,22991.57627,940,32,24722.46782,950,32,22770.68037,960,34,33018.23496,1020,35,32657.36207,872,33,26923.49877,752,34,22806.9249,771,33,25075.19555,839,34
724,25364.55768,800,30,34974.84213,996,33,33863.84588,968,34,32010.97837,1071,34,33203.36331,1168,34,40587.84738,1156,33,35917.60085,1191,34,39160.44531,1259,33,37324.31845,1075,34,27444.37174,843,32,31145.73696,964,32,39436.24839,1103,35
725,19201.94331,765,28,20403.00588,816,27,21326.51688,762,27,21633.53414,821,29,22811.7138,886,31,23008.42305,885,31,23824.12729,940,30,29406.73398,1033,29,23353.17159,831,30,18473.92877,621,27,23589.25368,803,29,25022.05388,859,28
726,15756.01434,670,30,18752.82055,792,32,18966.74318,784,28,30418.34175,971,31,23941.33967,989,31,21795.62262,908,33,23302.89215,958,34,30972.08107,1153,34,26473.84216,1084,34,24588.66474,922,33,25673.11419,1050,36,29982.10937,1214,37
727,26829.4738,918,33,29221.092,1023,36,28863.59417,943,35,44630.60663,1467,37,33403.19866,1260,39,31956.66192,1222,40,31281.80323,1270,39,38864.04096,1309,40,37551.40035,1034,39,27382.26826,832,41,37866.49385,1211,42,43424.47917,1291,44
728,15663.56791,714,29,19339.16846,785,28,18138.24947,758,30,21467.55348,900,30,19538.27948,861,27,24623.65467,941,29,18741.62469,805,29,27570.43102,1007,30,25985.56629,923,30,17881.25015,687,29,27886.27621,1084,32,33741.61553,997,32
