id,mclients,mincome,morders,mclient1,mclient2,mclient3,mPtresclientes,tclients,tincome,torders,tclient1,tclient2,tclient3
755,1,283.5513832,0.0125,90805,,,1,13,9377.027803,0.225,Foo,Bar,Baz
756,32,461124.8521,6.375,86823,86836,90649,0.383029424,28,77864.40181,1.9375,Foo,Bar,Baz
757,118,79755.78737,2.3625,85193,87451,90904,0.147730351,173,2253148.712,33.625,Foo,Bar,Baz
758,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
759,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
760,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
761,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
762,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
763,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
764,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
765,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
766,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
767,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
768,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
769,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
770,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
771,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
772,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
773,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
774,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
775,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
776,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
777,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
778,0,0,0,,,,0,8,5960.169155,0.15,Foo,Bar,Baz
779,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
780,1,81.675,0.0125,90913,,,1,2,9651.417927,0.3,Foo,Bar,Baz
781,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
782,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
